"numprec","region","metro","relate","age","sex","race","marst","bpl","sch","educ99","empstat","classwkr","wkswork1","uhrswork","incwage","ftype","annhrs","hrwage","adj_ind","adj_occ2name"
4,"West North Central Div.","Not in metro area","Head/Householder",26,"Female","White nonhisp","Never married/single","Italy","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",51,40,20800,"Primary family",2040,10.1960783004761,"Child day care services","Office and Admin Support"
6,"West North Central Div.","Not in metro area","Head/Householder",62,"Female","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,40,56000,"Primary family",2080,26.9230766296387,"Nursing care facilities","Office and Admin Support"
2,"Pacific Division","In metro area, outside central / principal city","Head/Householder",34,"Female","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,35,32100,"Primary family",1820,17.6373634338379,"Not avaliable","Community and Social Workers"
5,"Mountain Division","In metro area, outside central / principal city","Head/Householder",29,"Female","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",30,30,3000,"Primary family",900,3.33333325386047,"Restaurants and other food services","Office and Admin Support"
2,"New England Division","Not in metro area","Head/Householder",27,"Female","White nonhisp","Never married/single","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,38,29000,"Nonfamily householder",1976,14.6761131286621,"Individual and family services","Business Operators"
2,"South Atlantic Division","Not in metro area","Roomers/boarders/lodgers",49,"Female","White nonhisp","Divorced","United States","Bachelor's degree","Bachelor's degree","At work","Local govt employee",52,40,16000,"Secondary individual",2080,7.692307472229,"Elementary and secondary schools","Office and Admin Support"
3,"South Atlantic Division","Central / Principal city status unknown","Head/Householder",43,"Female","Black nonhisp","Never married/single","United States","Grade 12","High school","Has job, not at work now","Wage/salary, private sector",26,25,8000,"Primary family",650,12.307692527771,"Elementary and secondary schools","Transportation and materials moving"
2,"West South Central Div.","Central / Principal city status unknown","Head/Householder",48,"Female","White nonhisp","Divorced","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,24000,"Primary family",2080,11.5384616851807,"Home health care services","Office and Admin Support"
4,"Pacific Division","In metro area, outside central / principal city","Head/Householder",38,"Female","White nonhisp","Separated","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,20,14300,"Primary family",1040,13.75,"Home health care services","Office and Admin Support"
2,"South Atlantic Division","In metro area, outside central / principal city","Head/Householder",53,"Female","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,40000,"Primary family",2080,19.230770111084,"Management, scientific and technical consulting services","Office and Admin Support"
2,"West North Central Div.","Central / Principal city status unknown","Spouse",28,"Female","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,43500,"Primary family",2080,20.9134616851807,"Hospitals","Office and Admin Support"
4,"South Atlantic Division","In metro area, outside central / principal city","Head/Householder",28,"Female","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","State govt employee",50,40,27002,"Primary family",2000,13.5010004043579,"Not avaliable","Community and Social Workers"
4,"Middle Atlantic Division","In metro area, outside central / principal city","Spouse",49,"Female","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,26,20000,"Primary family",1352,14.7928991317749,"Electronic shopping","Office and Admin Support"
3,"New England Division","In metro area, central / principal city","Head/Householder",50,"Female","White nonhisp","Divorced","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,60,55000,"Primary family",3120,17.6282043457031,"Not avaliable","Office and Admin Support"
4,"West North Central Div.","Central / Principal city status unknown","Spouse",43,"Female","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 1","At work","Wage/salary, private sector",52,40,60000,"Primary family",2080,28.8461532592773,"Insurance carriers and related activities","Computer and Math Technicians"
4,"Middle Atlantic Division","In metro area, outside central / principal city","Head/Householder",39,"Female","Other nonhisp","Married, spouse present","China","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,45,160000,"Primary family",2340,68.3760681152344,"Other information services","Computer and Math Technicians"
3,"New England Division","Central / Principal city status unknown","Spouse",36,"Female","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 1","At work","Wage/salary, private sector",52,40,40000,"Primary family",2080,19.230770111084,"Home health care services","Office and Admin Support"
4,"South Atlantic Division","In metro area, outside central / principal city","Head/Householder",55,"Female","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Federal govt employee",52,40,153000,"Primary family",2080,73.5576934814453,"Not avaliable","Managers"
4,"East North Central Div.","In metro area, central / principal city","Head/Householder",53,"Female","Black nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,40,21000,"Primary family",2080,10.0961542129517,"Retail bakeries","Production"
2,"Middle Atlantic Division","In metro area, outside central / principal city","Spouse",31,"Female","Other nonhisp","Married, spouse present","Bangladesh","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,35000,"Primary family",2080,16.8269233703613,"Department stores and discount stores","Office and Admin Support"
2,"New England Division","In metro area, outside central / principal city","Spouse",60,"Female","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,32,20000,"Primary family",1664,12.0192308425903,"Furniture and home furnishings stores","Production"
2,"West South Central Div.","In metro area, central / principal city","Head/Householder",54,"Female","Hispanic","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,30000,"Primary family",2080,14.4230766296387,"Clothing stores","Production"
2,"West South Central Div.","In metro area, central / principal city","Spouse",38,"Female","Hispanic","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,35000,"Primary family",2080,16.8269233703613,"Wired telecommunications carriers","Office and Admin Support"
3,"Mountain Division","In metro area, central / principal city","Child",35,"Female","Hispanic","Separated","Mexico","Grade 5","5th-8th grades","At work","Wage/salary, private sector",28,12,1300,"Related subfamily",336,3.86904764175415,"Traveler accommodation","Office and Admin Support"
4,"Mountain Division","In metro area, outside central / principal city","Spouse",31,"Female","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,37600,"Primary family",2080,18.0769233703613,"Other amusement, gambling, and recreation industries","Office and Admin Support"
3,"South Atlantic Division","Not in metro area","Spouse",54,"Female","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 1","At work","State govt employee",52,37,38000,"Primary family",1924,19.7505187988281,"Individual and family services","Managers"
4,"South Atlantic Division","In metro area, outside central / principal city","Head/Householder",34,"Female","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,34000,"Primary family",2080,16.3461532592773,"Legal services","Office and Admin Support"
2,"Middle Atlantic Division","In metro area, outside central / principal city","Head/Householder",55,"Female","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,20,15000,"Primary family",1040,14.4230766296387,"Furniture and home furnishing, merchant wholesalers","Office and Admin Support"
2,"East North Central Div.","In metro area, central / principal city","Spouse",59,"Female","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Local govt employee",50,40,90000,"Primary family",2000,45,"Hospitals","Office and Admin Support"
2,"South Atlantic Division","In metro area, central / principal city","Head/Householder",26,"Female","Black nonhisp","Never married/single","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,40,28000,"Primary family",2080,13.4615383148193,"Banking and related activities","Office and Admin Support"
6,"Mountain Division","In metro area, central / principal city","Spouse",36,"Female","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,25,12862,"Primary family",1300,9.89384651184082,"Child day care services","Office and Admin Support"
5,"South Atlantic Division","Central / Principal city status unknown","Head/Householder",49,"Female","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,22,27000,"Primary family",1144,23.6013984680176,"Not avaliable","Office and Admin Support"
3,"Middle Atlantic Division","In metro area, outside central / principal city","Head/Householder",42,"Female","White nonhisp","Divorced","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,44000,"Primary family",2080,21.1538467407227,"Management, scientific and technical consulting services","Office and Admin Support"
4,"Pacific Division","Not in metro area","Head/Householder",46,"Female","Other nonhisp","Never married/single","United States","Associate's degree","Associate's degree 2","At work","Local govt employee",52,40,31200,"Primary family",2080,15,"Not avaliable","Managers"
4,"East South Central Div.","Not in metro area","Spouse",45,"Female","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","State govt employee",44,40,55000,"Primary family",1760,31.25,"Elementary and secondary schools","Office and Admin Support"
4,"Pacific Division","In metro area, central / principal city","Head/Householder",52,"Female","Hispanic","Married, spouse present","Mexico","Grade 9","9th grade","At work","Wage/salary, private sector",52,24,9000,"Primary family",1248,7.21153831481934,"Services to buildings and dwellings","Office and Admin Support"
2,"East North Central Div.","In metro area, outside central / principal city","Spouse",48,"Female","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,45,50000,"Primary family",2340,21.3675212860107,"Specialized design services","Office and Admin Support"
5,"New England Division","Not in metro area","Head/Householder",49,"Female","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Local govt employee",35,14,3500,"Primary family",490,7.14285707473755,"Elementary and secondary schools","Office and Admin Support"
3,"Mountain Division","In metro area, outside central / principal city","Spouse",48,"Female","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,45,45000,"Primary family",2340,19.230770111084,"Other telecommunication services","Computer and Math Technicians"
4,"Mountain Division","Not in metro area","Spouse",37,"Female","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,45,22000,"Primary family",2340,9.40170955657959,"Hospitals","Office and Admin Support"
2,"New England Division","Not in metro area","Head/Householder",59,"Female","White nonhisp","Married, spouse present","United States","Grade 12","High school","Has job, not at work now","Wage/salary, private sector",52,40,55000,"Primary family",2080,26.4423084259033,"Legal services","Office and Admin Support"
2,"Pacific Division","In metro area, outside central / principal city","Spouse",58,"Female","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,49000,"Primary family",2080,23.5576915740967,"Colleges and universities, including junior colleges","Computer and Math Technicians"
2,"South Atlantic Division","In metro area, central / principal city","Spouse",52,"Female","Black nonhisp","Married, spouse present","United States","Grade 10","10th grade","At work","Wage/salary, private sector",50,24,5518,"Primary family",1200,4.59833335876465,"Home health care services","Office and Admin Support"
2,"New England Division","Central / Principal city status unknown","Housemate/Roomate",27,"Female","White nonhisp","Never married/single","United States","Bachelor's degree","Bachelor's degree","At work","State govt employee",32,15,7500,"Secondary individual",480,15.625,"Colleges and universities, including junior colleges","Office and Admin Support"
5,"Mountain Division","In metro area, central / principal city","Head/Householder",56,"Female","Black nonhisp","Divorced","United States","Bachelor's degree","Bachelor's degree","At work","State govt employee",52,40,59000,"Primary family",2080,28.365385055542,"Colleges and universities, including junior colleges","Office and Admin Support"
2,"South Atlantic Division","In metro area, central / principal city","Head/Householder",57,"Female","Black nonhisp","Divorced","United States","Advanced degree","Master's degree","At work","State govt employee",52,40,35000,"Primary family",2080,16.8269233703613,"Not avaliable","Office and Admin Support"
4,"East North Central Div.","Not in metro area","Spouse",39,"Female","White nonhisp","Married, spouse present","Guam","Advanced degree","Master's degree","At work","State govt employee",52,14,25000,"Primary family",728,34.3406600952148,"Colleges and universities, including junior colleges","Office and Admin Support"
1,"West North Central Div.","In metro area, central / principal city","Head/Householder",44,"Female","White nonhisp","Never married/single","United States","Grade 12","High school","At work","Wage/salary, private sector",52,60,42075,"Nonfamily householder",3120,13.4855766296387,"Insurance carriers and related activities","Business Operators"
2,"South Atlantic Division","In metro area, central / principal city","Head/Householder",35,"Female","White nonhisp","Divorced","United States","Grade 12","High school","At work","Wage/salary, private sector",52,50,25000,"Primary family",2600,9.61538505554199,"Not avaliable","Office and Admin Support"
3,"Mountain Division","In metro area, central / principal city","Head/Householder",28,"Female","Hispanic","Never married/single","Mexico","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,39000,"Primary family",2080,18.75,"Professional and commercial equipment and supplies, merchant wholesalers","Production"
4,"East North Central Div.","In metro area, outside central / principal city","Spouse",38,"Female","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,45,72000,"Primary family",2340,30.769229888916,"Hospitals","Managers"
4,"West North Central Div.","In metro area, central / principal city","Spouse",48,"Female","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,36,110000,"Primary family",1872,58.760684967041,"Hospitals","Managers"
2,"West North Central Div.","Central / Principal city status unknown","Head/Householder",54,"Female","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","Has job, not at work now","State govt employee",40,35,18000,"Primary family",1400,12.8571424484253,"Elementary and secondary schools","Office and Admin Support"
2,"West South Central Div.","In metro area, central / principal city","Head/Householder",44,"Female","Hispanic","Divorced","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,105000,"Primary family",2080,50.480770111084,"Fabric mills, except knitting","Production"
4,"East North Central Div.","In metro area, outside central / principal city","Spouse",48,"Female","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Local govt employee",52,50,40000,"Primary family",2600,15.384614944458,"Elementary and secondary schools","Managers"
5,"East South Central Div.","Not in metro area","Spouse",40,"Female","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,24,40000,"Primary family",1248,32.0512809753418,"Hospitals","Office and Admin Support"
3,"Pacific Division","In metro area, outside central / principal city","Child",32,"Female","Hispanic","Never married/single","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,15600,"Primary family",2080,7.5,"Not avaliable","Office and Admin Support"
5,"East South Central Div.","In metro area, outside central / principal city","Spouse",47,"Female","Black nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,32,36000,"Primary family",1664,21.634614944458,"Investigation and security services","Protective Service adj_occupations"
2,"East South Central Div.","In metro area, outside central / principal city","Spouse",42,"Female","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,70000,"Primary family",2080,33.6538467407227,"Hospitals","Computer and Math Technicians"
3,"Pacific Division","In metro area, central / principal city","Parent",42,"Female","Other nonhisp","Never married/single","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,40000,"Primary family",2080,19.230770111084,"Traveler accommodation","Managers"
3,"South Atlantic Division","In metro area, outside central / principal city","Spouse",61,"Female","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,36000,"Primary family",2080,17.3076915740967,"Real estate","Managers"
1,"West South Central Div.","In metro area, central / principal city","Head/Householder",58,"Female","Other nonhisp","Widowed","United States","Grade 12","High school","At work","Wage/salary, private sector",52,42,30000,"Nonfamily householder",2184,13.7362632751465,"Motor vehicles, parts and supplies, merchant wholesalers","Office and Admin Support"
4,"Pacific Division","In metro area, outside central / principal city","Head/Householder",54,"Female","Hispanic","Separated","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,25000,"Primary family",2080,12.0192308425903,"Real estate","Office and Admin Support"
2,"West South Central Div.","In metro area, central / principal city","Spouse",54,"Female","Hispanic","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","State govt employee",52,40,51000,"Primary family",2080,24.519229888916,"Elementary and secondary schools","Office and Admin Support"
3,"East South Central Div.","Not in metro area","Head/Householder",29,"Female","White nonhisp","Separated","United States","Grade 12","High school","At work","Wage/salary, private sector",28,27,11000,"Primary family",756,14.5502643585205,"Grocery stores","Office and Admin Support"
4,"New England Division","In metro area, outside central / principal city","Spouse",36,"Female","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,24,70000,"Primary family",1248,56.0897445678711,"Hospitals","Office and Admin Support"
4,"West South Central Div.","In metro area, outside central / principal city","Spouse",38,"Female","Other nonhisp","Married, spouse present","United States","Advanced degree","Professional degree","At work","Wage/salary, private sector",52,60,65000,"Primary family",3120,20.8333339691162,"Offices of other health practitioners","Office and Admin Support"
3,"West North Central Div.","Not in metro area","Head/Householder",45,"Female","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Local govt employee",52,40,27000,"Primary family",2080,12.9807691574097,"Nursing care facilities","Office and Admin Support"
2,"West North Central Div.","Not in metro area","Head/Householder",62,"Female","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,24000,"Primary family",2080,11.5384616851807,"Jewelry, luggage, and leather goods stores","Office and Admin Support"
2,"Mountain Division","Not in metro area","Head/Householder",62,"Female","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,30,26721,"Primary family",1560,17.1288452148438,"Grocery stores","Office and Admin Support"
2,"New England Division","In metro area, outside central / principal city","Head/Householder",51,"Female","White nonhisp","Married, spouse present","Germany","Advanced degree","Master's degree","At work","Wage/salary, private sector",40,38,60000,"Primary family",1520,39.4736824035645,"Elementary and secondary schools","Managers"
4,"Middle Atlantic Division","Central / Principal city status unknown","Spouse",47,"Female","Hispanic","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,30,30000,"Primary family",1560,19.230770111084,"Other amusement, gambling, and recreation industries","Office and Admin Support"
3,"New England Division","In metro area, outside central / principal city","Spouse",48,"Female","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,41000,"Primary family",2080,19.7115383148193,"Fabric mills, except knitting","Office and Admin Support"
4,"New England Division","In metro area, outside central / principal city","Spouse",52,"Female","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Local govt employee",52,20,11520,"Primary family",1040,11.0769233703613,"Other amusement, gambling, and recreation industries","Office and Admin Support"
4,"South Atlantic Division","In metro area, central / principal city","Child",35,"Female","Black nonhisp","Never married/single","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,20000,"Primary family",2080,9.61538505554199,"Home health care services","Office and Admin Support"
2,"New England Division","In metro area, central / principal city","Spouse",52,"Female","Hispanic","Married, spouse present","Dominican Republic","Some collage","Some collage","At work","Wage/salary, private sector",52,57,50950,"Primary family",2964,17.1896095275879,"Nursing care facilities","Office and Admin Support"
3,"Pacific Division","In metro area, outside central / principal city","Spouse",52,"Female","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Local govt employee",52,40,22000,"Primary family",2080,10.5769233703613,"Elementary and secondary schools","Office and Admin Support"
1,"Mountain Division","Central / Principal city status unknown","Head/Householder",51,"Female","White nonhisp","Divorced","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",44,40,25000,"Nonfamily householder",1760,14.2045450210571,"Home health care services","Office and Admin Support"
2,"East North Central Div.","Not in metro area","Head/Householder",34,"Female","White nonhisp","Separated","United States","Grade 12","High school","At work","Wage/salary, private sector",52,42,15000,"Primary family",2184,6.86813163757324,"Motor vehicles and motor vehicle equipment manufacturing","Production"
3,"New England Division","In metro area, outside central / principal city","Head/Householder",57,"Female","White nonhisp","Widowed","United States","Grade 12","High school","At work","Wage/salary, private sector",36,38,26000,"Primary family",1368,19.0058479309082,"Restaurants and other food services","Office and Admin Support"
4,"Pacific Division","Not in metro area","Spouse",28,"Female","Hispanic","Married, spouse present","Mexico","Some collage","Some collage","At work","Wage/salary, private sector",17,20,3000,"Primary family",340,8.82352924346924,"Used merchandise stores","Office and Admin Support"
3,"East South Central Div.","In metro area, central / principal city","Head/Householder",59,"Female","White nonhisp","Divorced","United States","Advanced degree","Professional degree","At work","Wage/salary, private sector",52,40,55000,"Primary family",2080,26.4423084259033,"Management of companies and enterprises","Lawyers, Judges,Physicans and dentists"
2,"Pacific Division","Central / Principal city status unknown","Spouse",60,"Female","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,24328,"Primary family",2080,11.6961536407471,"Department stores and discount stores","Office and Admin Support"
3,"West South Central Div.","In metro area, outside central / principal city","Head/Householder",46,"Female","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,8000,"Primary family",2080,3.8461537361145,"Child day care services","Office and Admin Support"
3,"West South Central Div.","In metro area, outside central / principal city","Head/Householder",35,"Female","Hispanic","Separated","Mexico","Grade 12","High school","At work","Wage/salary, private sector",30,40,8500,"Primary family",1200,7.08333349227905,"Accounting, tax preparation, bookkeeping and payroll services","financial Operators"
4,"Mountain Division","Central / Principal city status unknown","Spouse",25,"Female","Hispanic","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,28000,"Primary family",2080,13.4615383148193,"Nursing care facilities","Office and Admin Support"
1,"West South Central Div.","In metro area, central / principal city","Head/Householder",33,"Female","Black nonhisp","Never married/single","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,50,80000,"Nonfamily householder",2600,30.769229888916,"Computer systems design and related services","Computer and Math Technicians"
5,"South Atlantic Division","In metro area, outside central / principal city","Head/Householder",42,"Female","White nonhisp","Divorced","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,24,45000,"Primary family",1248,36.0576934814453,"Hospitals","Office and Admin Support"
4,"West South Central Div.","In metro area, outside central / principal city","Head/Householder",41,"Female","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Local govt employee",52,40,40000,"Primary family",2080,19.230770111084,"Elementary and secondary schools","Office and Admin Support"
2,"South Atlantic Division","Central / Principal city status unknown","Head/Householder",51,"Female","White nonhisp","Widowed","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,40,52000,"Primary family",2080,25,"Securities, commodities, funds, trusts, and other financial investments","Office and Admin Support"
4,"Mountain Division","Central / Principal city status unknown","Other Relatives",58,"Female","Other nonhisp","Divorced","Japan","Grade 12","High school","At work","State govt employee",52,32,12000,"Primary family",1664,7.21153831481934,"Elementary and secondary schools","Office and Admin Support"
3,"East North Central Div.","Central / Principal city status unknown","Head/Householder",40,"Female","Black nonhisp","Divorced","United States","Some collage","Some collage","At work","Wage/salary, private sector",28,40,12300,"Primary family",1120,10.9821424484253,"Other health care services","Office and Admin Support"
3,"South Atlantic Division","In metro area, outside central / principal city","Head/Householder",53,"Female","Black nonhisp","Never married/single","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,40,74000,"Primary family",2080,35.5769233703613,"Other health care services","Office and Admin Support"
2,"West North Central Div.","Not in metro area","Spouse",59,"Female","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,80000,"Primary family",2080,38.461540222168,"Other health care services","Office and Admin Support"
4,"Middle Atlantic Division","In metro area, central / principal city","Head/Householder",36,"Female","White nonhisp","Married, spouse present","Russia","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,70000,"Primary family",2080,33.6538467407227,"Home health care services","Managers"
8,"Pacific Division","Not in metro area","Spouse",44,"Female","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Local govt employee",52,50,40000,"Primary family",2600,15.384614944458,"Elementary and secondary schools","Office and Admin Support"
4,"West North Central Div.","In metro area, outside central / principal city","Head/Householder",38,"Female","White nonhisp","Divorced","United States","Some collage","Some collage","At work","Wage/salary, private sector",30,40,18000,"Primary family",1200,15,"Computer systems design and related services","Office and Admin Support"
2,"West North Central Div.","In metro area, outside central / principal city","Spouse",63,"Female","Black nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Local govt employee",52,40,35000,"Primary family",2080,16.8269233703613,"Not avaliable","Office and Admin Support"
2,"West North Central Div.","Not in metro area","Unmarried Partner",47,"Female","White nonhisp","Never married/single","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,60,25000,"Secondary individual",3120,8.01282024383545,"Electronic component and product manufacturing, n.e.c.","Production"
5,"Pacific Division","In metro area, outside central / principal city","Head/Householder",50,"Female","Other nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,40,38000,"Primary family",2080,18.269229888916,"Grocery stores","Office and Admin Support"
3,"South Atlantic Division","In metro area, central / principal city","Head/Householder",38,"Female","White nonhisp","Married, spouse present","United States","Advanced degree","Doctoral degree","At work","State govt employee",52,55,67100,"Primary family",2860,23.4615383148193,"Colleges and universities, including junior colleges","Managers"
4,"New England Division","Not in metro area","Unmarried Partner",54,"Female","White nonhisp","Divorced","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,35,50000,"Unrelated subfamily",1820,27.472526550293,"Not avaliable","Office and Admin Support"
2,"New England Division","In metro area, outside central / principal city","Unmarried Partner",36,"Female","White nonhisp","Divorced","United States","Advanced degree","Master's degree","At work","Local govt employee",44,43,75500,"Secondary individual",1892,39.9048614501953,"Elementary and secondary schools","Managers"
3,"East North Central Div.","In metro area, outside central / principal city","Spouse",45,"Female","Black nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,34000,"Primary family",2080,16.3461532592773,"Elementary and secondary schools","Managers"
4,"South Atlantic Division","In metro area, outside central / principal city","Head/Householder",47,"Female","Black nonhisp","Married, spouse present","Guinea","Some collage","Some collage","At work","Wage/salary, private sector",48,40,38400,"Primary family",1920,20,"Home health care services","Office and Admin Support"
4,"West South Central Div.","In metro area, outside central / principal city","Head/Householder",26,"Female","Black nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","State govt employee",52,40,31000,"Primary family",2080,14.9038457870483,"Not avaliable","Community and Social Workers"
5,"South Atlantic Division","In metro area, central / principal city","Unmarried Partner",37,"Female","White nonhisp","Widowed","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,40,177700,"Secondary individual",2080,85.4326934814453,"Hospitals","Office and Admin Support"
6,"Pacific Division","Not in metro area","Spouse",55,"Female","White nonhisp","Married, spouse present","Micronesia","Grade 10","10th grade","At work","State govt employee",52,17,6720,"Primary family",884,7.60180997848511,"Elementary and secondary schools","Office and Admin Support"
7,"Pacific Division","Not in metro area","Head/Householder",38,"Female","Black nonhisp","Never married/single","United States","Grade 12","High school","At work","Wage/salary, private sector",52,35,30000,"Primary family",1820,16.4835166931152,"Business support services","Office and Admin Support"
2,"South Atlantic Division","In metro area, central / principal city","Head/Householder",28,"Female","Black nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Federal govt employee",52,38,30000,"Primary family",1976,15.182186126709,"Postal Service","Office and Admin Support"
4,"West North Central Div.","Central / Principal city status unknown","Head/Householder",42,"Female","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,45,42000,"Primary family",2340,17.9487171173096,"Support activities for agriculture and forestry","Office and Admin Support"
5,"New England Division","In metro area, central / principal city","Spouse",43,"Female","Hispanic","Married, spouse present","Mexico","Grade 5","5th-8th grades","At work","Wage/salary, private sector",52,40,14400,"Primary family",2080,6.92307710647583,"Paperboard containers and boxes","Production"
4,"Pacific Division","In metro area, central / principal city","Spouse",45,"Female","Hispanic","Married, spouse present","Mexico","Grade 5","5th-8th grades","At work","Wage/salary, private sector",52,20,17000,"Primary family",1040,16.3461532592773,"Department stores and discount stores","Office and Admin Support"
7,"Middle Atlantic Division","Central / Principal city status unknown","Head/Householder",46,"Female","White nonhisp","Divorced","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,45,55000,"Primary family",2340,23.5042743682861,"Business support services","Managers"
